Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Business,ACCTG,ACCTG 1,1010,DANIEL C,20,4,4,2,3,0.0,2,0.0,0.0,0.0,5,40
Business,ACCTG,ACCTG 1,1011,DANIEL C,9,7,3,0.0,8,0.0,1,0.0,0.0,0.0,4,32
Business,ACCTG,ACCTG 1,1012,ANDRE J M,8,11,7,0.0,2,0.0,0.0,0.0,0.0,0.0,9,37
Business,ACCTG,ACCTG 1,1013,BROOKINS G T,13,9,4,2,2,1,0.0,0.0,0.0,0.0,11,42
Business,ACCTG,ACCTG 1,1014,FITZGERALD R L,7,7,0.0,3,6,1,0.0,0.0,0.0,0.0,13,37
Business,ACCTG,ACCTG 1,1015,FITZGERALD R L,4,9,3,1,8,1,0.0,0.0,0.0,0.0,10,36
Business,ACCTG,ACCTG 1,3284,BROOKINS G T,10,7,4,2,7,0.0,1,1,0.0,0.0,4,36
Business,ACCTG,ACCTG 1,4001,TRIPPETTI V J,5,3,3,3,3,1,0.0,0.0,0.0,1,19,38
Business,ACCTG,ACCTG 2,1017,BROOKINS G T,4,5,0.0,3,3,0.0,0.0,0.0,0.0,0.0,4,19
Business,ACCTG,ACCTG 2,1018,STEINBERGER E K,13,4,4,2,1,0.0,0.0,0.0,0.0,1,6,31
Business,ACCTG,ACCTG 2,1019,TRIPPETTI V J,10,12,4,0.0,2,0.0,2,0.0,0.0,0.0,3,33
Business,ACCTG,ACCTG 2,1020,HUANG AI M,23,11,3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,40
Business,ACCTG,ACCTG 2,1021,STEINBERGER E K,13,11,1,1,1,1,0.0,0.0,0.0,0.0,7,35
Business,ACCTG,ACCTG 2,1022,LU M,8,6,5,0.0,1,0.0,0.0,0.0,0.0,0.0,3,23
Business,ACCTG,ACCTG 2,1023,LU M,6,5,2,0.0,1,0.0,0.0,0.0,0.0,0.0,1,15
Business,ACCTG,ACCTG 2,1024,HUANG AI M,27,5,2,1,2,0.0,0.0,0.0,0.0,0.0,2,39
Business,ACCTG,ACCTG 2,1025,HUANG AI M,26,6,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,35
Business,ACCTG,ACCTG 2,1026,RUBIO C,5,1,3,0.0,1,1,0.0,0.0,0.0,0.0,3,14
Business,ACCTG,ACCTG 2,3379,LOPEZ EN,20,11,5,0.0,2,0.0,0.0,0.0,0.0,0.0,1,39
Business,ACCTG,ACCTG 2,4002,LU M,6,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
Business,ACCTG,ACCTG 6,1027,HANSON M P,7,7,3,0.0,2,1,0.0,0.0,0.0,0.0,2,22
Business,ACCTG,ACCTG 7,1028,HANSON M P,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,22
