Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,W,EW,Total
Business,ACCTG,ACCTG 2,1018,BROOKINS G T,7.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,23
Business,ACCTG,ACCTG 2,1019,STEINBERGER E K,17.0,14.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,39
Business,ACCTG,ACCTG 2,1021,LOPEZ EN,24.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30
Business,ACCTG,ACCTG 2,1022,HUANG AI M,31.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,42
Business,ACCTG,ACCTG 2,1023,LU M,14.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,29
Business,ACCTG,ACCTG 2,1024,LU M,9.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,23
Business,ACCTG,ACCTG 2,1025,HUANG AI M,20.0,12.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,42
Business,ACCTG,ACCTG 2,1026,HUANG AI M,27.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,44
Business,ACCTG,ACCTG 2,1027,DANIEL C,8.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,33
Business,ACCTG,ACCTG 2,1028,DANIEL C,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5
Business,ACCTG,ACCTG 2,3396,LU M,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,28
Business,ACCTG,ACCTG 6,1029,HANSON M P,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9
Business,ACCTG,ACCTG 7,1030,HANSON M P,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13
Business,ACCTG,ACCTG 9,1031,HUANG AI M,26.0,10.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,42
Business,ACCTG,ACCTG 9,1032,HUANG AI M,11.0,8.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,31
Business,ACCTG,ACCTG 10A,1033,LU M,14.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,29
Business,ACCTG,ACCTG 10A,1034,LU M,5.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,3.0,27
Business,ACCTG,ACCTG 10B,1035,KIM J S,8.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,28
Business,ACCTG,ACCTG 10B,1036,KIM J S,11.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,23
Business,ACCTG,ACCTG 10C,1037,HANSON M P,12.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,26
Business,ACCTG,ACCTG 11,1038,MAIER L S,12.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,30
Business,ACCTG,ACCTG 12,1039,STEINBERGER E K,21.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,33
Business,ACCTG,ACCTG 12,1040,MAIER L S,22.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,36
