Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Cosmetology,COSM,COSM 21D,1623,HARRISON H L,13,3,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,19
Cosmetology,COSM,COSM 21D,1624,MOISAN A V,15,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4,0.0,20
Cosmetology,COSM,COSM 21E,1625,MYERS A M,11,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,15
Cosmetology,COSM,COSM 21E,1626,MYERS A M,6,2,3,0.0,3,0.0,0.0,0.0,0.0,7,0.0,21
Cosmetology,COSM,COSM 26,1627,NUNLEY R M,12,5,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
Cosmetology,COSM,COSM 26,1628,NUNLEY R M,10,3,1,1,0.0,0.0,0.0,0.0,0.0,5,0.0,20
Cosmetology,COSM,COSM 28A,1629,VAN KALLEN D,14,3,1,0.0,2,0.0,0.0,0.0,0.0,3,0.0,23
Cosmetology,COSM,COSM 28A,1630,VAN KALLEN D,16,1,0.0,0.0,1,0.0,0.0,0.0,0.0,5,0.0,23
Cosmetology,COSM,COSM 28A,4059,MONGE J V,15,3,1,1,3,0.0,0.0,0.0,0.0,2,0.0,25
Cosmetology,COSM,COSM 28B,1631,LIM J Y,13,2,1,1,0.0,0.0,0.0,0.0,0.0,5,0.0,22
Cosmetology,COSM,COSM 28B,1632,LIM J Y,18,4,0.0,1,0.0,0.0,0.0,0.0,0.0,3,0.0,26
Cosmetology,COSM,COSM 28B,4060,HORN S L,10,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
Cosmetology,COSM,COSM 30,1633,IJAMES S V,13,8,2,1,1,0.0,0.0,0.0,0.0,1,0.0,26
Cosmetology,COSM,COSM 30,1634,IJAMES S V,11,6,2,1,0.0,0.0,0.0,0.0,0.0,4,0.0,24
